sound_id,category_1,prob_1,category_2,prob_2,category_3,prob_3,category_4,prob_4,category_5,prob_5
276971,11,0.2302066551937318,22,0.13605318160880187,17,0.12771822021883467,0,0.08532109445750681,4,0.08396408227963392
239969,25,0.27341629456399147,19,0.17904450255350315,21,0.17469504263948601,20,0.07157352550776472,15,0.06513094647822605
122212,11,0.18746426140527767,20,0.13494351862580428,15,0.10527505578918454,17,0.08467622033575066,22,0.07424414733941921
631657,9,0.24331068108861442,7,0.13456028681299467,17,0.10261480269354664,8,0.06922167255266029,22,0.04777458004829565
483718,18,0.21448735794445833,7,0.21408886680349545,3,0.11818708282042431,11,0.10847825547426175,15,0.07809827231927105
277615,17,0.37851361564842634,11,0.19610864621244234,20,0.14043157635451017,15,0.1287275516596134,6,0.07575169956919585
72717,18,0.2438063476608131,3,0.12648653812388275,22,0.1071967589422563,0,0.08156601021644388,2,0.057400748687699135
614307,11,0.2078682921587414,17,0.20046191794728427,20,0.1418066042865833,15,0.09116909042852325,19,0.0611543955971391
442570,4,0.12381587732728756,20,0.12269200854164383,7,0.11442672536640491,1,0.08075369540389424,5,0.0738062670955031
58757,17,0.4442597792781482,11,0.2007864307291756,22,0.11901853710747141,0,0.08736093506713707,6,0.07429511340533043
449748,20,0.3023717751502893,17,0.13812553871038047,11,0.11908150866799824,15,0.11184871662230925,6,0.07223938431769872
31303,18,0.2532015577759642,3,0.2420844036530576,2,0.18238939642686725,22,0.051499222333718835,11,0.044789763231117004
642209,0,0.34338931699756536,3,0.27118357339489574,22,0.2244860341859781,17,0.05176510185016242,6,0.033020622020904264
274275,17,0.3142329583151241,11,0.2822258346077249,15,0.179144857263439,22,0.06942646028638699,0,0.04389729403036723
592857,17,0.24423293162837567,11,0.17796054442607842,20,0.15790360221384886,15,0.13943098752079833,6,0.05372646316006474
472704,3,0.1576075680858203,20,0.13485540618484462,11,0.1229930187979853,17,0.11950017500861204,0,0.08683390779340674
364092,14,0.14817636448589794,22,0.09068850299422157,2,0.07401193017915679,0,0.07400104540348904,4,0.0656548224198008
320327,14,0.273958982810083,10,0.22052852052945773,16,0.1871024175989962,1,0.056079145344841326,13,0.05167865200252354
678765,11,0.25408998271021793,23,0.09740403717680655,17,0.09063072884933561,0,0.05985469028825319,1,0.05891400437663233
204816,4,0.13120454804634613,20,0.125080037325297,15,0.1049098267178264,0,0.09651843546112336,17,0.07950773596464737
583114,15,0.2355883870341442,20,0.17546117303778982,11,0.16861490452406064,17,0.13432373117012292,7,0.09539407122996568
445987,24,0.2552310184185746,7,0.16368896638543023,16,0.10690978905532748,2,0.10042289200633409,8,0.052198869026647145
642132,2,0.20315205558733848,8,0.19131993270400263,7,0.0864734476281195,16,0.06348542376952217,18,0.06146686075178475
369521,3,0.3965540527423622,0,0.19405128182338888,12,0.07719370725865943,7,0.039493699375959326,23,0.035008180818042176
