0,19,50.83
15,6,68.9
14,14,29.6
6,6,65.63
9,9,45.85
2,20,26.67
22,13,23.17
11,11,54.62
2,12,31.05
14,13,43.5
9,14,38.59
0,4,45.14
8,22,24.5
5,21,30.64
7,9,16.92
13,20,41.72
0,1,13.66
15,17,22.62
16,16,51.94
5,5,28.94
6,10,73.09
1,18,17.6
5,9,18.58
22,6,22.58
19,16,32.86
1,18,21.84
14,12,22.6
5,5,17.87
3,3,87.31
17,20,19.34
14,9,31.07
12,20,27.53
13,13,64.25
22,10,20.18
11,11,43.52
5,22,30.01
6,6,44.81
5,4,30.9
13,13,48.11
9,7,19.89
5,5,42.3
3,11,24.75
12,12,29.54
3,16,22.79
6,6,94.39
3,3,61.23
1,22,25.0
9,22,22.77
7,7,24.3
8,13,70.77
2,12,23.72
8,18,23.22
2,11,37.05
3,2,11.36
2,20,20.49
10,16,19.37
19,19,59.53
9,8,21.92
2,14,23.19
17,11,69.33
10,10,22.42
9,8,32.11
4,4,35.74
11,11,40.53
12,17,35.03
2,11,26.88
14,9,31.26
15,16,15.59
13,13,63.68
19,4,52.02
6,6,89.36
22,9,23.72
14,14,18.4
22,22,23.32
10,16,27.65
12,14,38.51
11,11,54.3
3,19,44.05
3,0,19.95
8,11,29.88
13,9,31.35
8,7,15.03
4,18,18.21
12,12,25.7
20,20,36.1
9,9,24.51
7,7,16.42
1,14,17.12
13,13,75.7
6,6,87.48
19,3,30.26
20,9,17.54
4,4,41.8
5,17,12.76
2,20,17.43
1,17,16.66
22,22,36.23
18,13,18.47
13,20,57.63
8,17,41.52
12,12,22.19
2,9,23.25
18,18,25.14
20,17,29.13
6,6,66.23
12,17,14.54
9,12,20.82
14,11,26.86
20,11,54.67
11,7,22.9
12,12,25.51
2,19,19.13
22,15,50.86
6,6,93.81
12,20,21.73
9,9,29.08
6,6,94.88
6,6,55.66
5,17,21.75
15,17,23.36
17,20,18.19
15,15,18.39
11,9,18.66
1,1,37.92
21,5,18.09
6,6,36.19
20,17,17.13
16,12,17.34
9,13,29.47
0,1,43.99
9,11,57.51
2,17,36.51
14,2,31.95
5,12,20.71
10,10,34.41
18,20,21.96
21,7,17.55
15,16,23.9
